Pos,2P,FT,TRB,AST,STL,PTS
SG,0.47 ,0.8 ,2 ,1 ,1 ,5 
SG,0.47 ,0.6 ,1 ,1 ,0 ,3 
SF,0.44 ,0.8 ,3 ,3 ,1 ,5 
PG,0.46 ,0.7 ,2 ,3 ,1 ,6 
PF,0.47 ,0.8 ,3 ,1 ,1 ,5 
PF,0.49 ,0.8 ,3 ,1 ,0 ,4 
PF,0.41 ,0.7 ,3 ,1 ,0 ,5 
C,0.52 ,0.4 ,1 ,0 ,0 ,1 
PG,0.54 ,0.8 ,2 ,4 ,1 ,12 
SF,0.47 ,0.7 ,3 ,1 ,1 ,6 
PG,0.36 ,0.3 ,1 ,1 ,1 ,2 
PG,0.30 ,0.8 ,0 ,0 ,0 ,3 
SF,0.50 ,0.6 ,6 ,1 ,0 ,6 
SG,0.47 ,0.8 ,1 ,1 ,1 ,8 
PG,0.39 ,0.8 ,0 ,1 ,0 ,2 
SF,0.51 ,0.7 ,5 ,1 ,1 ,11 
PG,0.50 ,0.7 ,1 ,5 ,0 ,11 
PF,0.47 ,0.7 ,4 ,1 ,0 ,5 
C,0.50 ,0.9 ,6 ,2 ,1 ,20 
SG,0.25 ,1.0 ,0 ,0 ,0 ,3 
SG,0.39 ,0.6 ,0 ,0 ,0 ,2 
C,0.47 ,0.6 ,5 ,1 ,0 ,6 
SG,0.45 ,0.9 ,4 ,4 ,1 ,13 
SG,0.45 ,0.8 ,2 ,5 ,1 ,13 
SF,0.49 ,0.8 ,6 ,4 ,1 ,22 
PG,0.48 ,0.7 ,2 ,7 ,1 ,12 
SF,0.48 ,0.8 ,6 ,2 ,1 ,13 
PG,0.58 ,0.8 ,6 ,11 ,2 ,18 
SF,0.51 ,0.7 ,6 ,4 ,1 ,21 
PF,0.43 ,0.8 ,6 ,3 ,1 ,14 
PF,0.50 ,0.7 ,2 ,1 ,0 ,5 
C,0.56 ,0.6 ,5 ,1 ,0 ,10 
C,0.55 ,0.6 ,3 ,1 ,0 ,10 
C,0.57 ,0.6 ,2 ,0 ,0 ,9 
SG,0.48 ,0.8 ,3 ,3 ,1 ,13 
PF,0.52 ,0.8 ,4 ,2 ,1 ,8 
C,0.50 ,0.8 ,7 ,2 ,1 ,10 
PF,0.00 ,0.3 ,0 ,0 ,0 ,1 
PF,0.51 ,0.7 ,6 ,1 ,1 ,10 
SF,0.00 ,0.3 ,0 ,0 ,0 ,0 
PF,0.54 ,0.6 ,1 ,0 ,0 ,3 
PG,0.60 ,0.5 ,0 ,0 ,0 ,1 
PG,0.37 ,0.7 ,0 ,1 ,0 ,3 
PG,0.34 ,0.7 ,0 ,0 ,0 ,3 
PG,0.50 ,0.5 ,0 ,0 ,0 ,3 
C,0.50 ,0.8 ,6 ,2 ,1 ,5 
PF,0.52 ,0.8 ,9 ,3 ,2 ,19 
SF,0.52 ,0.7 ,5 ,1 ,1 ,11 
SF,0.50 ,0.8 ,5 ,3 ,1 ,15 
